route_id,origin_port_id,dest_port_id,route_type,assigned_ship_id,frequency_per_week,distance_nm,scheduled_duration_hr
R01,MRK,BKH,wajib,KM-02,84,18.3,1.9
R02,KTP,GLM,wajib,KM-31,96,4.2,1.0
R03,PDB,BNO,wajib,KM-15,14,31.5,3.2
R04,PRK,SMG,rancangan,KM-09,7,277.2,19.6
R05,SMG,SBY,rancangan,KM-23,7,155.3,6.2
R06,PRK,SBY,rancangan,KM-20,5,494.7,36.7
R07,SBY,BNO,rancangan,KM-16,6,208.6,17.8
R08,CBN,SMG,rancangan,KM-35,4,147.3,14.7
R09,PJG,BBR,rancangan,KM-06,3,202.5,13.8
R10,BBR,BTM,rancangan,KM-08,3,313.7,18.7
R11,BTM,TPI,rancangan,KM-10,21,40.2,3.5
R12,DMI,BTM,rancangan,KM-12,4,199.0,9.4
R13,BLW,BTM,rancangan,KM-14,2,426.9,16.5
R14,PRK,PJG,rancangan,KM-21,3,140.0,6.5
R15,TGL,SMG,rancangan,KM-34,5,87.7,7.0
R16,TBN,SBY,rancangan,KM-32,4,51.2,4.6
